Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	CON 1	CON 2	CON 3	CON 4	D3T 1	D3T 2	D3T 3	D3T 4	C10 1	C10 2	C10 3	C10 4
1415855_at	Kitl			kit ligand	177.6207106	143.5131375	136.8716648	138.5495294	128.4339676	116.9799121	103.841693	112.7812165	64.78455489	100.0467852	94.51687334	103.7714667
1415859_at	Eif3c			"eukaryotic translation initiation factor 3, subunit C"	1142.675464	1254.563692	1322.580665	1273.382388	956.9793607	1008.864007	1417.123719	1317.219446	2176.644374	2472.029081	2557.13037	1993.295658
1415888_at	Hdgf			hepatoma-derived growth factor	2001.408576	1926.958786	1774.220988	1724.485162	1934.801706	1847.757866	1779.036013	1840.267787	1125.788421	1335.172102	1633.589746	1282.035059
1415892_at	Sgpl1			sphingosine phosphate lyase 1	493.623066	538.2997705	537.5715582	619.6848983	686.8389284	705.6901193	625.5853857	517.5753145	406.7416729	304.8494219	407.8443907	338.8016287
1415909_at	Stip1			stress-induced phosphoprotein 1	173.8146651	370.4674552	441.7569432	323.9986519	241.5228708	263.739345	253.4139264	305.262381	154.9212246	157.8854046	182.1254845	163.7633829
1415925_a_at	Nup62			nucleoporin 62	70.21897344	140.7234551	80.18136095	78.99618078	108.1459629	96.19506649	79.10319162	59.28716885	33.84932125	33.46202849	59.85168671	22.44435917
1415926_at	Nup62			nucleoporin 62	139.0192638	128.173393	121.5815916	114.7059963	112.8575402	120.9250228	114.6283431	87.14300752	98.36798875	71.65949642	103.0713812	62.755935
1415940_at	Zfand2a			"zinc finger, AN1-type domain 2A"	238.9211896	303.6138934	424.7496652	252.557662	191.8698211	240.8696813	273.9285828	238.1138949	107.4891328	166.5582494	211.8006197	224.4961666
1415949_at	Cpe /// LOC100046434			carboxypeptidase E /// similar to carboxypeptidase E	61.45276417	6.690843037	29.40378556	6.775155224	6.802726087	7.020252882	6.627735369	6.795821693	6.661467346	6.643456263	6.782038621	6.788929012
1415965_at	Scd1			stearoyl-Coenzyme A desaturase 1	1733.857959	4112.671142	1743.269616	3827.90683	7106.482847	7058.568917	6516.673504	2799.920211	2322.785149	2325.926834	2912.031003	1822.913008
1415975_at	Carhsp1			calcium regulated heat stable protein 1	634.1120578	595.0210924	569.0233323	565.9500821	569.7941502	697.1440602	683.129839	456.3459128	498.3232236	591.0068329	625.5853857	559.0963049
1415988_at	Hdlbp			high density lipoprotein (HDL) binding protein	858.7497716	846.0557962	889.5149237	754.0905708	840.3485348	730.9718306	833.55004	858.7497716	2325.926834	2153.205052	2425.623634	1827.860177
1415989_at	Vcam1			vascular cell adhesion molecule 1	75.08584214	56.85053418	53.30976806	59.36752236	59.36752236	63.1821445	62.45927854	70.02911741	114.3958575	65.71204795	85.16029251	143.7075451
1415993_at	Sqle			squalene epoxidase	1518.425068	1407.559311	1246.096429	1434.49776	3045.091787	2495.580973	2310.244774	3510.20604	1273.382388	1386.75768	1386.75768	2191.434738
1415995_at	Casp6			caspase 6	598.2517908	396.9498663	364.0046323	523.2113401	619.6848983	653.2824169	613.8400639	533.9448772	725.0582031	1033.748843	1066.442156	1076.602526
1415998_at	Vdac1			voltage-dependent anion channel 1	3078.239994	2996.016803	2641.588446	3149.899317	4589.305081	4977.653186	4329.785982	4101.540048	4101.540048	4418.619541	4430.58044	3975.801462
1416016_at	Tap1			"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"	240.8696813	201.8622039	172.7589927	130.6258849	158.099391	130.8914453	148.8559418	147.9518576	109.5458484	130.8914453	110.3645476	103.7012159
1416021_a_at	Fabp5 /// Gm6166			"fatty acid binding protein 5, epidermal /// predicted gene 6166"	2248.535584	9341.574384	3061.621029	5615.037724	18382.17681	14136.23198	8520.013494	5911.465028	2282.264049	4040.925393	1676.155173	1974.497738
1416022_at	Fabp5			"fatty acid binding protein 5, epidermal"	900.4191937	3859.130191	1012.969486	1929.565096	12413.39398	8103.78397	3572.528982	2182.551529	841.4868988	1631.383217	700.9292406	768.51947
1416029_at	Klf10			Kruppel-like factor 10	89.77743668	202.5464515	135.5806987	509.2350813	136.5939713	122.5732199	223.8891803	232.6963869	361.0598023	1241.045247	344.8172168	968.710655
1416034_at	Cd24a			CD24a antigen	194.090541	33.62095967	25.28405582	30.35427899	73.42716531	61.16226799	44.52559546	38.28716676	56.39060827	56.81204776	30.43657252	19.56277327
1416039_x_at	Cyr61			cysteine rich protein 61	139.0192638	79.37138087	89.59535291	290.3483449	67.33300747	86.14594599	83.84471826	62.50154727	54.73584429	302.792991	144.8796343	112.5523992
1416049_at	Gldc			glycine decarboxylase	3311.708556	2739.923694	2796.138292	2613.124234	2242.449841	2376.858	2036.943149	2156.117371	1696.704959	1475.859838	2050.770024	1207.895558
1416051_at	C2			complement component 2 (within H-2S)	1878.02428	1987.900731	1827.860177	1528.742812	1172.449444	1242.732438	1136.506327	844.9112514	1448.154688	1411.37926	1239.368937	1379.270779
1416059_at	LOC100048726 /// Sec23b			similar to SEC23B /// SEC23B (S. cerevisiae)	1273.382388	1611.624581	1776.620712	1522.545893	1100.177051	1217.748086	1520.478815	1326.169992	706.6460705	1050.681728	915.16686	732.9535693
1416062_at	Tbc1d15			"TBC1 domain family, member 15"	152.1154625	143.6103582	118.654664	122.9055283	153.7718913	157.4585186	140.4379469	128.4339676	206.0032089	248.1516092	260.1929388	176.0645931
1416064_a_at	Hspa5			heat shock protein 5	23014.09355	36319.07905	45903.92832	35540.83608	21362.75363	18963.53103	26745.89758	25750.98505	19092.25645	23518.03657	21653.91102	20596.04918
1416101_a_at	Hist1h1c			"histone cluster 1, H1c"	5413.477754	6057.261582	5951.592358	4219.832444	3258.336752	4231.284569	4237.007597	4576.915686	1183.611579	1640.238624	1273.382388	1434.49776
1416108_a_at	Tmed3			transmembrane emp24 domain containing 3	615.5042465	975.290369	1070.782685	770.6030041	726.040391	626.4328244	832.422413	810.1858061	363.0201955	591.0068329	479.1378583	382.7020981
1416110_at	Slc35a4			"solute carrier family 35, member A4"	23.78971363	20.59551076	26.08372483	17.22515428	16.05424595	16.73101424	17.17858141	17.75792366	16.73101424	16.73101424	18.89894768	42.86936077
1416114_at	Sparcl1			SPARC-like 1	103.7714667	96.3905628	62.0799289	62.1219409	48.48978662	62.0379023	87.61615507	69.50963191	60.74968403	54.182911	67.6986425	59.20696513
1416125_at	Fkbp5			FK506 binding protein 5	292.3202576	383.7396422	274.2996555	229.5672449	715.3086116	503.7496077	490.9570467	923.8808541	496.9755272	486.3263665	921.3822531	1017.091671
1416147_at	Hspa4			heat shock protein 4	420.7434494	293.9076295	425.9012046	413.9632826	233.1692936	199.417471	210.2293082	176.3030961	284.5116662	182.4957429	187.5044468	291.9248065
1416149_at	Olig1			oligodendrocyte transcription factor 1	41.80901067	78.78259319	47.93501571	92.36644899	36.46592285	95.87003142	171.4774431	48.42418961	20.81978117	41.55508149	41.41467035	25.82023095
1416150_a_at	Sfrs3			"splicing factor, arginine/serine-rich 3 (SRp20)"	2796.138292	2591.982029	3124.435841	3407.221445	2266.860662	2445.408892	3439.659403	3393.409917	1390.521176	1808.164225	1860.313436	1840.267787
1416151_at	Sfrs3			"splicing factor, arginine/serine-rich 3 (SRp20)"	151.6015822	171.4774431	237.7917743	242.9987361	156.8203528	185.4846513	232.6963869	249.6679806	79.53274169	96.65195438	104.193755	114.4732738
1416152_a_at	Sfrs3			"splicing factor, arginine/serine-rich 3 (SRp20)"	344.8172168	364.497725	434.6384509	419.6058554	253.5854219	283.7424117	449.6005531	399.1051265	213.3835277	194.6167401	214.9782656	193.8279752
1416154_at	Srp54a /// Srp54b			signal recognition particle 54a /// signal recognition particle 54b	15.47277437	22.21762962	11.23738152	20.55372535	18.31956066	29.22520015	33.37155482	13.9410759	41.02404942	30.89323401	39.28476431	22.88930892
1416158_at	Nr2f2			"nuclear receptor subfamily 2, group F, member 2"	62.84094627	47.96745528	59.20696513	87.7942774	79.91049023	74.17653645	97.70442515	70.17148556	123.4892802	159.0654834	148.0520852	143.9997004
1416159_at	Nr2f2			"nuclear receptor subfamily 2, group F, member 2"	750.017787	591.8074304	663.0836169	775.8365859	717.2478857	807.9952491	912.6918257	668.4917752	864.5820057	950.5231804	1067.891975	851.8024091
1416160_at	Nr2f2			"nuclear receptor subfamily 2, group F, member 2"	62.54388795	33.46202849	27.07311525	63.13941549	51.71041579	42.63785628	83.73129308	58.96700439	74.22673472	107.9265498	117.8541703	87.85369134
1416164_at	Fbln5			fibulin 5	103.1412053	101.4104841	111.4908111	69.32164573	68.80740834	67.37862115	108.8805161	74.88282721	55.63234447	67.65281218	66.02415375	63.7406135
1416178_a_at	Plekhb1			"pleckstrin homology domain containing, family B (evectins) member 1"	258.7876572	323.9986519	423.6012393	343.8846716	375.0088935	434.6384509	363.5119547	392.6739275	170.435966	219.9832702	224.3441882	166.4454935
1416181_at	Mesdc2			mesoderm development candidate 2	1209.529298	1362.565625	1419.040451	1364.408564	1177.221434	1254.563692	1148.886051	1170.865789	744.9583718	885.9097962	922.630388	841.4868988
1416190_a_at	Sec61a1			Sec61 alpha 1 subunit (S. cerevisiae)	287.6097951	246.9785604	262.67025	278.7923183	225.7150803	261.6056701	301.1576299	328.8596056	245.3125104	206.1427625	314.9170372	228.3275286
1416192_at	Napa			N-ethylmaleimide sensitive fusion protein attachment protein alpha	60.5853888	79.91049023	64.39108256	60.33984143	110.2152464	122.4902409	116.5058026	80.12713567	65.35714235	72.24395649	97.83677881	79.31764839
1416193_at	Car1			carbonic anhydrase 1	128.2602221	55.03307358	70.07650896	76.7819343	41.86564654	61.87016602	64.13011104	48.06497239	75.39139699	60.66750183	106.6917638	92.24149561
1416199_at	Kifc3			kinesin family member C3	244.3181106	296.7061458	313.2164122	304.4370214	254.4451708	295.9037152	311.9467568	296.7061458	147.4520429	193.9591465	177.6207106	171.361357
1416205_at	Glb1			"galactosidase, beta 1"	80.50770734	81.3843788	69.13421586	69.69807956	137.2427377	137.6148167	125.3420775	100.0467852	77.61803474	102.1683831	98.90215148	104.9724549
1416214_at	Mcm4			minichromosome maintenance deficient 4 homolog (S. cerevisiae)	64.56565331	68.52853783	64.04335579	46.81269766	61.78646802	73.57644163	62.96870097	58.52957915	44.76734952	32.41422108	32.50209932	47.54721714
1416216_at	Reps1			RalBP1 associated Eps domain containing protein	257.3901439	204.8907438	190.7044899	198.3405705	231.5963972	224.0406952	229.5672449	173.1102092	210.5140918	214.8327306	226.7871362	205.7245276
1416222_at	Nsdhl			NAD(P) dependent steroid dehydrogenase-like	2766.00874	2478.737875	2206.31031	2638.002104	5004.672679	5355.182402	4964.180988	6148.164283	3347.759095	3606.565725	3833.110837	3874.837248
1416235_at	Lrrc59			leucine rich repeat containing 59	105.1146541	112.4001383	131.958914	147.1528833	102.5147719	105.8286179	125.0030945	115.1727816	88.7502944	80.89008658	85.39122987	65.1804316
1416236_a_at	Mpzl2			myelin protein zero-like 2	1355.209333	1303.034891	1932.188323	2251.576843	2212.297975	2574.506148	2006.826251	2335.393596	1940.052529	3253.935638	3231.974276	3514.978136
1416250_at	Btg2			"B-cell translocation gene 2, anti-proliferative"	246.1440405	227.248191	228.6368286	83.73129308	184.6078383	98.76835659	141.4875205	83.39193735	66.20315192	109.0280092	61.32812761	96.97957324
1416251_at	Mcm6			"minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)"	98.83519714	57.15920715	141.2961161	61.32812761	177.0205451	262.3149095	170.6668442	114.6283431	70.07650896	87.67550925	52.3088809	55.82092012
1416258_at	Tk1			thymidine kinase 1	111.7931515	101.5478581	96.12994478	88.27096105	148.5540369	173.2273599	148.7552731	164.4298028	79.80233196	98.70149283	113.1635868	153.8760616
1416265_at	Capn10			calpain 10	283.3583684	155.026066	149.2596088	178.1023818	462.5661869	412.285525	278.4151678	238.9211896	177.0205451	282.9750411	245.6448189	208.1056033
1416273_at	Tnfaip2			"tumor necrosis factor, alpha-induced protein 2"	90.69367279	40.83015106	33.62095967	45.31613769	92.0543505	75.03501086	58.64852825	54.80999128	37.64470373	60.42157978	32.28282665	29.62353698
1416303_at	Litaf			LPS-induced TN factor	2963.733478	2455.361958	2348.086759	2221.302255	2360.832547	2492.192858	2188.459545	2050.770024	1613.804385	1553.772966	1653.617676	1743.269616
1416308_at	Ugdh			UDP-glucose dehydrogenase	10580.64532	10104.63788	12805.97963	10270.15262	9572.035287	8543.1358	11306.30578	12346.37589	16119.95393	15003.9007	12702.36931	15604.66754
1416318_at	Serpinb1a			"serine (or cysteine) peptidase inhibitor, clade B, member 1a"	195.5410914	60.42157978	56.23814098	140.1530179	362.5291015	533.9448772	560.6120716	328.4147241	214.3970136	382.7020981	143.2219694	147.4520429
1416332_at	Cirbp			cold inducible RNA binding protein	159.7127856	66.78827742	24.44263642	100.8627741	132.5856658	119.0569475	139.7740762	124.4964677	99.43914592	169.2861342	202.4094728	190.7044899
1416347_at	Men1			multiple endocrine neoplasia 1	192.7811256	197.5367132	189.4180494	169.6302903	146.4572701	143.6103582	126.278831	133.7575948	71.75656874	153.7718913	186.7445074	135.9482717
1416350_at	Klf16			Kruppel-like factor 16	7.041671862	5.254505504	6.160498087	6.196046623	7.298884543	7.983769117	6.133450839	6.255043858	9.988811279	11.36359961	6.133450839	14.37225966
1416360_at	Snx18			sorting nexin 18	20.93282327	22.61209879	18.95019777	27.74094444	20.63738113	27.77852324	27.7597371	24.3600468	33.66650373	43.18974819	53.16563065	34.94351906
1416362_a_at	Fkbp4			FK506 binding protein 4	917.6479701	1426.753117	1479.865146	1227.680979	1115.171592	1217.748086	1180.416273	1239.368937	760.2409884	772.6921869	954.3919075	815.6887815
1416368_at	Gsta4			"glutathione S-transferase, alpha 4"	2567.538154	1592.105254	2242.449841	2075.912615	2769.769106	3154.181579	2967.76265	1680.69241	4046.39095	2648.739044	2688.489273	1549.578364
1416374_at	Ap3m1			"adaptor-related protein complex 3, mu 1 subunit"	205.4462234	304.4370214	314.0655736	261.6056701	289.1713876	390.5531266	398.0260376	300.7502236	453.8815391	368.466845	563.6563351	486.3263665
1416375_at	Ap3m1			"adaptor-related protein complex 3, mu 1 subunit"	219.8343469	303.2031644	337.8855867	349.5170442	302.3831628	453.2675279	411.7277849	345.2843176	489.6296112	318.3462589	806.9021927	526.7651164
1416376_at	Tmem97			transmembrane protein 97	1216.103244	937.7418441	917.6479701	906.5350558	1676.155173	1743.269616	1259.669895	1444.235205	1100.177051	1261.373663	1327.963704	1448.154688
1416377_at	Pdcd7			programmed cell death 7	124.5808059	137.3357106	123.572936	113.316882	111.0389484	118.4941479	125.596809	103.0016044	83.5614719	77.56554299	144.487913	114.7836225
1416378_at	Pnkp			polynucleotide kinase 3'- phosphatase	103.9120389	81.21926126	64.74074221	70.93560293	82.10368103	80.78065842	58.09539878	51.92084651	23.45393358	49.71957296	60.50342885	38.80901737
1416391_at	Ptcd1			pentatricopeptide repeat domain 1	58.13471429	82.2149014	89.47408624	65.84563955	89.11145546	55.33187856	67.88218038	62.29040295	48.72009361	46.46543471	58.7280162	59.12686992
1416410_at	Pafah1b3			"platelet-activating factor acetylhydrolase, isoform 1b, subunit 3"	61.91203606	61.91203606	59.52847373	62.0379023	96.52113665	134.2109898	102.9319462	73.72602143	61.49439437	62.1219409	60.66750183	70.12398118
1416411_at	Gstm2			"glutathione S-transferase, mu 2"	662.186597	503.0677863	641.0170853	512	2811.316174	3145.644673	1438.380847	1880.564404	1030.958111	989.9226562	1667.105858	833.55004
1416416_x_at	Gstm1			"glutathione S-transferase, mu 1"	9278.590831	9104.348074	9481.765514	9834.731838	19092.25645	22038.37148	18912.20554	16948.03039	20291.52959	20820.2533	21420.72961	15415.67029
1416418_at	Gabarapl1			gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1	4073.886298	3582.224402	3365.954594	3049.210428	3567.703482	2448.716432	3271.598518	2591.982029	6049.079894	6963.659759	5816.195306	6274.261743
1416432_at	Pfkfb3			"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	35.2046721	164.2073621	164.5411932	82.82934069	75.08584214	117.138377	80.61676575	122.5732199	343.8846716	238.2750362	784.2848924	823.4555698
1416454_s_at	Acta2			"actin, alpha 2, smooth muscle, aorta"	429.3748858	87.49762788	335.6060702	70.93560293	78.35709461	67.33300747	61.99594713	62.16402442	78.9427023	72.48889038	248.8243734	79.58656472
1416461_at	Caprin1			cell cycle associated protein 1	6805.191289	7421.113723	7718.260383	7381.04822	6008.253629	7573.371583	6359.819036	7174.139086	4576.915686	4728.051386	5191.011613	3917.045035
1416462_at	Caprin1			cell cycle associated protein 1	5855.716528	6325.439463	6659.370072	5895.465434	4601.759911	6090.183574	5219.189249	6181.537495	3965.068295	4035.467218	4371.007081	3338.721406
1416470_a_at	Rpn1			ribophorin I	1024	1329.759842	1566.446737	1257.968429	1263.079735	964.784554	1375.537733	1392.401927	873.9966865	759.2120077	826.8065456	899.2011061
1416481_s_at	Higd1a			"HIG1 domain family, member 1A"	279.5481525	371.9752959	373.9949553	280.3060358	193.8279752	236.1875322	230.5016072	240.5438326	205.5853996	199.9582506	211.8006197	226.7871362
1416484_at	Ttc3			tetratricopeptide repeat domain 3	215.2694823	130.6258849	150.2733115	120.1092124	125.3420775	210.7994072	144.2924496	120.5980693	302.3831628	251.8748039	257.3901439	239.8934572
1416488_at	Ccng2			cyclin G2	1139.59067	1646.914564	1532.881014	741.9386053	1315.440246	714.3409417	717.2478857	827.9265651	723.0978117	684.9818732	573.6643281	574.4414328
1416511_a_at	Cdc42ep4			CDC42 effector protein (Rho GTPase binding) 4	127.2225854	133.1253031	166.8968598	236.1875322	201.7255482	228.6368286	204.6135675	258.0879546	191.4806768	208.9524696	299.9370639	301.1576299
1416517_at	Pnpla6			patatin-like phospholipase domain containing 6	114.0864782	125.9374019	148.7552731	124.1598578	100.0467852	119.6224201	122.9055283	85.50690366	47.09875437	77.46061228	82.10368103	45.99604786
1416525_at	Spop			speckle-type POZ protein	1301.265831	1308.338377	1266.507583	1257.968429	902.8603214	1003.415212	1177.221434	1046.42268	1803.282863	1649.1421	1862.829605	1491.936068
1416532_at	Trrap			transformation/transcription domain-associated protein	204.3367661	189.0337467	193.9591465	206.1427625	344.8172168	373.4890147	337.4284949	205.7245276	189.5462363	226.633764	220.7290953	182.3721977
1416534_at	Dpf2			"D4, zinc and double PHD fingers family 2"	110.5140511	145.5677543	128.2602221	127.8268415	122.4074028	121.417116	107.853561	91.24787143	79.85639279	98.76835659	134.3019089	106.2592776
1416537_at	Creld1			cysteine-rich with EGF-like domains 1	336.0606933	480.4368496	671.2121403	362.038672	342.0276146	243.3279103	276.9114695	177.9818109	176.0645931	327.9704445	342.9548862	347.6293302
1416549_at	Slc35b4			"solute carrier family 35, member B4"	43.60099036	55.14491677	62.88347328	38.39096715	38.46901541	57.54744613	54.21957878	49.61873328	27.03649072	29.28459424	35.56395827	29.38387991
1416551_at	Atp2a2			"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"	1442.284442	1311.879959	1932.188323	1373.679761	790.6815771	842.6268048	1011.59914	826.8065456	466.9706285	564.4198827	676.6865954	453.2675279
1416563_at	Ctps			cytidine 5'-triphosphate synthase	119.7033734	126.5354662	155.131086	149.2596088	103.4908206	176.6615176	145.4692085	134.3019089	128.4339676	146.0612832	139.1133438	120.0279846
1416590_a_at	Rab34			"RAB34, member of RAS oncogene family"	156.9264794	175.7073827	157.0327868	163.4311299	218.0560185	375.0088935	246.4776462	216.731644	162.9892495	242.8342319	126.6211857	217.3192255
1416595_at	Mrps22			mitochondrial ribosomal protein S22	1890.785512	1913.953415	1977.168347	1800.834643	1919.147657	1611.624581	1921.743402	1660.34807	1364.408564	1144.228921	1322.580665	1159.823854
1416600_a_at	Rcan1			regulator of calcineurin 1	371.9752959	707.6033167	732.9535693	402.3602569	271.7126644	366.9732262	428.2139544	324.877045	283.7424117	410.6145672	545.6367475	383.220519
1416614_at	Eid1			EP300 interacting inhibitor of differentiation 1	178.1023818	140.4379469	150.8849394	163.6525191	228.1729564	183.8596386	179.9199057	179.0693981	232.5388572	258.7876572	252.557662	268.0588581
1416630_at	Id3			inhibitor of DNA binding 3	2121.369182	2599.01636	2081.546396	3495.977053	1908.786461	1589.954759	1386.75768	1030.958111	635.8311998	1522.545893	887.1098789	575.9988017
1416641_at	Lig1			"ligase I, DNA, ATP-dependent"	6.900117838	7.524631859	7.027385294	6.654706321	27.98614754	7.39586556	11.65968574	7.072724177	6.946985085	7.044054152	6.702173341	7.041671862
1416645_a_at	Afp			alpha fetoprotein	35.18086378	16.87888852	32.26099433	35.61213439	125.0030945	241.0328546	105.2570459	242.5057256	68.90061714	35.30014	34.38043754	38.28716676
1416666_at	Serpine2			"serine (or cysteine) peptidase inhibitor, clade E, member 2"	420.1742674	352.3677306	745.9675171	307.7521233	335.1520621	100.5219672	283.3583684	204.8907438	27.10978939	63.91342076	155.4463574	153.5638686
1416682_at	Ube3a			ubiquitin protein ligase E3A	208.5286788	177.2604659	161.9993259	197.5367132	225.1047984	187.2507906	141.6791842	188.3950175	275.7891711	239.2448402	330.198098	324.877045
1416700_at	Rnd3			Rho family GTPase 3	436.4071716	663.981852	604.7663256	608.8740429	475.2615902	466.3385871	515.4776262	400.1871409	740.9349104	460.0679033	545.6367475	671.2121403
1416708_a_at	Gramd1a			GRAM domain containing 1A	37.13850922	27.89158469	30.70560236	17.49542735	53.70818265	52.20278967	39.57838941	30.80970578	24.84297423	31.93507647	44.10563245	34.45030857
1416722_at	Hmg20a			high mobility group 20A	154.1888893	144.8796343	153.8760616	136.779006	132.4960004	131.2463053	163.5418437	112.9339937	94.45288773	121.5815916	141.20056	133.5765548
1416745_x_at	LOC640502 /// Uap1			similar to UDP-N-acetylhexosamine pyrophosphorylase /// UDP-N-acetylglucosamine pyrophosphorylase 1	10.89656114	11.57710797	18.45647329	12.21305314	10.87813251	11.87473983	11.69129633	13.7769058	12.63347832	14.8368508	10.5839702	12.37532922
1416750_at	Sigmar1			sigma non-opioid intracellular receptor 1	1172.449444	1133.430331	894.3452117	1070.782685	2218.286513	2185.503541	1589.954759	1392.401927	531.061083	731.9620293	955.6847584	556.8303357
1416755_at	Dnajb1			"DnaJ (Hsp40) homolog, subfamily B, member 1"	485.6684639	1227.680979	2641.588446	1440.336314	652.3982039	793.8997325	937.7418441	960.8736992	630.6872685	621.3649268	815.6887815	847.2024787
1416773_at	Wee1			WEE 1 homolog 1 (S. pombe)	88.51027256	148.5540369	199.0130188	126.0226289	166.4454935	362.5291015	186.1135133	297.5105462	387.3935169	351.4147654	211.8006197	1073.688662
1416802_a_at	Cdca5			cell division cycle associated 5	7.555252648	5.373197994	5.552528912	5.249172469	5.380476706	12.78834797	5.340563599	5.376837981	5.398718523	5.887344296	4.664362776	5.360483004
1416833_at	Keg1			kidney expressed gene 1	10353.92391	12788.68229	10623.70963	6446.498325	7010.929441	5072.882397	6695.518191	7291.652031	7321.329805	7781.21647	5951.592358	6741.014439
1416840_at	Mid1ip1			Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	734.9406806	1249.478187	1113.657584	2872.875982	1040.773198	2036.943149	1977.168347	1862.829605	1605.091693	2206.31031	2360.832547	1638.011761
1416842_at	Gstm5			"glutathione S-transferase, mu 5"	584.6405151	496.9755272	497.6487467	313.2164122	832.422413	840.3485348	691.5041024	691.5041024	353.3230352	428.2139544	485.0114513	485.0114513
1416846_a_at	Pdzrn3			PDZ domain containing RING finger 3	103.7714667	65.1804316	88.57023245	95.09443429	126.5354662	149.2596088	121.8287652	106.981016	78.19817321	107.2710524	171.2454683	179.67651
1416854_at	Slc34a2			"solute carrier family 34 (sodium phosphate), member 2"	12.11834686	16.40578816	63.05400046	14.58295315	7.203175226	21.14645611	7.271762092	7.210493482	7.212932886	7.190992973	5.702991965	7.198298852
1416855_at	Gas1			growth arrest specific 1	1664.842518	1161.392575	1100.177051	1638.011761	997.9965375	1249.478187	1539.119997	791.7526606	1278.565185	1045.009252	1209.529298	989.9226562
1416885_at	1110038F14Rik			RIKEN cDNA 1110038F14 gene	55.36936226	68.25075025	58.4504003	37.64470373	61.57769672	52.41522406	48.16268776	51.53569062	29.76423687	38.18364703	42.37886369	37.54292107
1416891_at	Numb			numb gene homolog (Drosophila)	1463.929132	1398.069146	1583.509712	1377.398218	1426.753117	1415.209576	1415.209576	1377.398218	1004.774472	1133.430331	1287.253074	1206.264024
1416895_at	Efna1			ephrin A1	1301.265831	780.0495722	871.6335995	562.8938205	1066.442156	939.0121402	1190.044659	940.2841572	267.3340883	427.6343699	134.848438	216.1455014
1416924_at	Bri3			brain protein I3	915.16686	945.3901348	945.3901348	1053.533154	947.9531833	1035.154216	1104.654885	899.2011061	1329.759842	1845.262055	1438.380847	1624.770235
1416933_at	Por			P450 (cytochrome) oxidoreductase	563.6563351	450.8194657	607.2277868	254.2729176	623.0495101	962.1753305	760.2409884	881.1250671	1161.392575	1247.790487	959.5738287	1752.73236
1416946_a_at	Acaa1a /// Acaa1b			acetyl-Coenzyme A acyltransferase 1A /// acetyl-Coenzyme A acyltransferase 1B	13591.99871	16207.56794	16163.70157	17109.38165	12685.21191	18912.20554	24163.63703	12329.61388	18632.7113	18963.53103	15499.34899	16970.95346
1416950_at	Tnfaip8			"tumor necrosis factor, alpha-induced protein 8"	81.32928356	33.3489631	59.52847373	32.85602397	53.12963881	38.31310379	39.15205152	41.58323232	29.4835022	29.4835022	21.87440697	30.10871016
