Probe Set	Gene Symbol	UniGene ID	Rep. Pub. ID	Gene Title	CON1	CON2	CON3	CON4	D3T1	D3T2	D3T3	D3T4	C101	C102	C103	C104
1415926_at	Nup62	Nup62	Nup62	nucleoporin 62	136.8716352	129.2187734	119.2989471	110.9638018	121.0888214	112.4001383	107.4163886	83.67465254	96.97959845	68.62136591	101.4791171	63.31059284
1415940_at	Zfand2a	Zfand2a	Zfand2a	zinc finger, AN1-type domain 2A	251.0236857	311.1033242	428.213806	259.8408371	192.9117054	246.1441045	228.9465775	241.522808	112.1721184	162.6585812	217.7609662	198.2063503
1415988_at	Hdlbp	Hdlbp	Hdlbp	high density lipoprotein (HDL) binding protein	806.9021927	854.1118797	866.9263507	755.1120214	814.5852466	728.9952606	820.1178909	859.912988	2316.50548	2130.004304	2389.770316	1729.164467
1415993_at	Sqle	Sqle	Sqle	squalene epoxidase	1520.48145	1292.490087	1121.224439	1333.36808	2736.220443	2406.001589	1971.820486	3201.497682	1139.588206	1266.508136	1231.008493	2001.404248
1415995_at	Casp6	Casp6	Casp6	caspase 6	544.1613292	352.3676085	315.3436889	475.2616314	583.059781	596.6343066	521.796606	451.430278	606.4061711	879.9330806	1006.135834	925.1321333
1415998_at	Vdac1	Vdac1	Vdac1	voltage-dependent anion channel 1	3074.076815	3154.174758	2677.588881	3004.135935	4552.18587	5038.673049	4406.65657	4168.725407	4225.545489	4312.231006	4418.604228	4002.808496
1416016_at	Tap1	Tap1	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	215.1238154	173.1101942	145.2724366	113.855067	134.5749076	113.3168623	116.3481683	127.3949309	98.30143861	113.0104599	78.1452316	102.0301387
1416021_a_at	Fabp5 /// Gm6166	Fabp5 /// Gm6166	Fabp5 /// Gm6166	fatty acid binding protein 5, epidermal /// predicted gene 6166	2285.355885	9520.336687	3218.881498	5761.335271	18810.08503	14662.50266	8577.884945	6181.537495	2310.241779	4329.78037	1733.852707	2107.059925
1416022_at	Fabp5	Fabp5	Fabp5	fatty acid binding protein 5, epidermal	942.8336079	4219.828788	1014.341775	2036.939619	12016.54374	8303.657656	3650.768264	2191.429042	866.9263507	1724.488903	732.9536328	799.2916042
1416049_at	Gldc	Gldc	Gldc	glycine decarboxylase	3421.07586	2834.247438	2845.781894	2773.51536	2310.241779	2448.720675	2164.890185	2200.347438	1803.278175	1564.328872	2212.295107	1280.299506
1416051_at	C2	C2	C2	complement component 2 (within H-2S)	2233.359836	2127.122641	1963.828364	1731.506994	1247.787243	1319.005057	1162.96644	935.2061617	1579.223885	1555.880594	1351.542	1514.318681
1416059_at	LOC100048726 /// Sec23b	LOC100048726 /// Sec23b	LOC100048726 /// Sec23b	similar to SEC23B /// SEC23B (S. cerevisiae)	1217.748086	1622.567184	1815.526005	1553.775658	1103.156593	1263.083569	1528.737514	1407.563585	718.2196179	1018.46981	928.8971139	723.097749
1416062_at	Tbc1d15	Tbc1d15	Tbc1d15	TBC1 domain family, member 15	156.502193	156.9265135	113.1635574	118.0138604	160.0374377	162.6585812	156.3962922	140.0582167	206.0032714	246.3107763	262.314955	177.8613678
1416101_a_at	Hist1h1c	Hist1h1c	Hist1h1c	histone cluster 1, H1c	5442.88655	5919.460585	5792.618751	4096	3137.140396	4140.602516	4151.828828	4601.755924	1158.25274	1545.384374	1285.509895	1428.681636
1416108_a_at	Tmed3	Tmed3	Tmed3	transmembrane emp24 domain containing 3	674.8567558	1022.614644	1119.707545	835.8100234	753.0702409	660.3959672	905.3084593	882.3188212	380.6353191	639.2837003	511.3073218	422.4556989
